,chart_file_sym,date,race_number,breed_code,distance,is_about_distance,surface_code,is_off_turf,course_type_code,race_type_code,race_conditions,race_name,sex_restriction_code,age_restriction_code,is_restricted_to_statebred,purse,max_claiming_price,min_claiming_price,grade_code,division,num_starters,track_condition_code,weather_code,post_time,temp_rail_dist,is_chute_start,is_track_sealed,race_f1_time,race_f2_time,race_f3_time,race_f4_time,race_f5_time,race_winning_time,wps_combined_pool,run_up_dist,horse_name,age,sex_code,medication_code,equipment_code,weight,claiming_price,earnings,program_number,coupled_type,morning_line,final_tote_odds,is_favorite,is_non_betting,payout_win,payout_place,payout_show,post_position,pos_call_start,pos_call_1,pos_call_2,pos_call_3,pos_call_4,pos_call_stretch,pos_call_finish,official_finish_position,call_1_lengths_behind,call_2_lengths_behind,call_3_lengths_behind,call_4_lengths_behind,stretch_call_lengths_behind,finish_lengths_behind,comment_line,trainer_first_name,trainer_middle_name,trainer_last_name,jockey_first_name,jockey_middle_name,jockey_last_name,apprentice_weight_allowance,owner_full_name,is_claimed,claiming_trainer_first_name,claiming_trainer_middle_name,claiming_trainer_last_name,claiming_owner_full_name,is_scratch,scratch_code,last_race_track,last_race_date,last_race_num,last_race_finish,long_comment,wager_type_1,wager_unit_1,wager_numright_1,wager_payout_1,wager_winningPGM_1,wager_pool_1,wager_type_2,wager_unit_2,wager_numright_2,wager_payout_2,wager_winningPGM_2,wager_pool_2,wager_type_3,wager_unit_3,wager_numright_3,wager_payout_3,wager_winningPGM_3,wager_pool_3,wager_type_4,wager_unit_4,wager_numright_4,wager_payout_4,wager_winningPGM_4,wager_pool_4,wager_type_5,wager_unit_5,wager_numright_5,wager_payout_5,wager_winningPGM_5,wager_pool_5,wager_type_6,wager_unit_6,wager_numright_6,wager_payout_6,wager_winningPGM_6,wager_pool_6,wager_type_7,wager_unit_7,wager_numright_7,wager_payout_7,wager_winningPGM_7,wager_pool_7,wager_type_8,wager_unit_8,wager_numright_8,wager_payout_8,wager_winningPGM_8,wager_pool_8,wager_type_9,wager_unit_9,wager_numright_9,wager_payout_9,wager_winningPGM_9,wager_pool_9,wager_type_10,wager_unit_10,wager_numright_10,wager_payout_10,wager_winningPGM_10,wager_pool_10,wager_type_11,wager_unit_11,wager_numright_11,wager_payout_11,wager_winningPGM_11,wager_pool_11,wager_type_12,wager_unit_12,wager_numright_12,wager_payout_12,wager_winningPGM_12,wager_pool_12,map_sex_restriction_code,map_breed_code,map_weather_code,map_medication_code,map_sex_code,map_grade_code,map_age_restriction_code,map_scratch_code,map_race_type_code,map_surface_code,map_track_condition_code,map_course_type_code,map_equipment_code,month,weekday,year,weeknum,x8name,x8country,x8_track_sym,race_id,runner_id
56,OP,2018-03-03,7,TB,6.0,0,D,0,M,STK,,Nodouble Breeders' S.,,3U,1,100000,,,,,7,FST,C,4:08,,0,0,22.36,45.85,58.01,,,70.47,233481,80.0,I Am,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,0.5,3.0,73.45,3-2/5/9-2,17175.0,E,1.0,,88.5,2-5,130385.0,S,0.1,,93.08,2-5-7-4,47349.0,T,0.5,,77.1,2-5-7,85289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,3 year olds & up,Trainer,Stakes,Dirt,Fast,Main Course,,3,Saturday,2018,6,IAM,USA,OPX,OPX_20180303_7,OPX_20180303_7_nan
64,OP,2018-03-03,8,TB,5.5,0,D,0,M,STK,,Spring Fever S.,B,4U,0,125000,,,,,10,FST,C,4:42,,0,0,22.03,45.56,57.73,,,64.29,253995,60.0,My Miss Chiff,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,0.5,3.0,202.2,2/5/9-2-8,12152.0,E,1.0,,159.0,8-7,145641.0,S,0.1,,779.95,8-7-9-6,57400.0,T,0.5,,445.45,8-7-9,93718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Trainer,Stakes,Dirt,Fast,Main Course,,3,Saturday,2018,6,MYMISSCHIFF,USA,OPX,OPX_20180303_8,OPX_20180303_8_nan
75,OP,2018-03-03,9,TB,8.0,0,D,0,M,ALW,NW1$      X,,,4U,0,79000,,,,,8,FST,C,5:12,,0,0,23.59,47.52,72.13,85.1,,97.97,229735,60.0,Harangue,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,0.5,3.0,235.35,2-8-8,35774.0,4,0.5,4.0,1096.05,2/5/9-2-8-8,73558.0,5,0.5,5.0,1684.9,3-2/5/9-2-8-8,66119.0,D,1.0,,24.8,8-8,51867.0,E,1.0,,26.7,8-6,128003.0,S,0.1,,30.64,8-6-4-2,56592.0,T,0.5,,33.1,8-6-4,90918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Vet,Allowance,Dirt,Fast,Main Course,,3,Saturday,2018,6,HARANGUE,USA,OPX,OPX_20180303_9,OPX_20180303_9_nan
8,PEN,2018-03-03,2,TB,8.0,0,D,0,M,CLM,NW2     L,,B,4U,0,10800,5000.0,5000.0,,,8,FST,L,6:29,,0,0,24.83,49.88,76.08,90.35,,104.78,19116,32.0,Case of Hope,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,D,2.0,,23.4,5-8,5674.0,E,1.0,,11.8,8-1,14895.0,HJ,0.2,,2087.02,8-1-2-4-3,262.0,S,0.1,,6.64,8-1-2-4,4668.0,T,0.5,,15.8,8-1-2,10617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Trainer,Claiming,Dirt,Fast,Main Course,,3,Saturday,2018,6,CASEOFHOPE,USA,PEN,PEN_20180303_2,PEN_20180303_2_nan
23,PEN,2018-03-03,4,TB,6.0,0,D,0,M,CLM,NW2     L,,B,4U,0,14400,10000.0,9000.0,,,5,FST,L,7:24,,0,0,23.84,47.67,60.16,,,73.06,32202,56.0,Aggreysive,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,S,,,,,,3,1.0,3.0,45.1,8-3-1,2457.0,4,0.5,4.0,197.15,5-8-3-1/6,8675.0,D,1.0,,24.3,3-1,3379.0,E,1.0,,11.1,1-3,23846.0,T,0.5,,11.2,1-3-4,19984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Stewards,Claiming,Dirt,Fast,Main Course,,3,Saturday,2018,6,AGGREYSIVE,USA,PEN,PEN_20180303_4,PEN_20180303_4_nan
6,RIL,2018-03-03,6,TB,5.5,0,D,0,M,CLM,,,,3U,0,2600,2500.0,2500.0,,,6,FST,C,4:08,,0,0,,,,,,67.96,7334,,Eighteencharacters,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,S,,,,,,E,2.0,,32.4,3-1,2115.0,Q,2.0,,13.0,1-3,1665.0,T,2.0,,187.0,3-1-2,5069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,3 year olds & up,Stewards,Claiming,Dirt,Fast,Main Course,,3,Saturday,2018,6,EIGHTEENCHARACTERS,USA,RIL,RIL_20180303_6,RIL_20180303_6_nan
0,SA,2018-03-03,1,TB,8.0,0,D,1,M,MSW,,,,03,1,54000,,,,,7,SLY,L,12:31,,0,1,24.01,48.13,72.2,84.38,,96.59,161066,172.0,Wound Tight,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,E,1.0,,8.4,8-1,79038.0,S,1.0,,64.9,8-1-4-7,42312.0,S5,1.0,,173.7,8-1-4-7-2,4503.0,T,0.5,,19.35,8-1-4,58435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,3 year olds,Off Turf,Maiden Special Weight,Dirt,Sloppy,Main Course,,3,Saturday,2018,6,WOUNDTIGHT,USA,SAX,SAX_20180303_1,SAX_20180303_1_nan
13,SA,2018-03-03,3,TB,8.0,0,D,0,M,CLM,,,,4U,0,18000,10000.0,10000.0,,,6,WF,L,1:33,,0,1,22.77,45.51,70.53,83.17,,96.03,158630,172.0,Lewis Vale,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,1.0,3.0,52.9,8-3-5,49384.0,D,2.0,,31.0,3-5,17975.0,E,1.0,,12.3,5-1,70789.0,S,1.0,,80.5,5-1-2-3,31761.0,T,0.5,,12.75,5-1-2,53025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Trainer,Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,LEWISVALE,USA,SAX,SAX_20180303_3,SAX_20180303_3_nan
20,SA,2018-03-03,4,TB,8.0,0,D,1,M,MSW,,,,03,1,54000,,,,,6,WF,L,2:03,,0,1,22.97,46.72,71.74,84.29,,96.84,263784,172.0,Celturian,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,3,1.0,3.0,44.1,3-5-6,23206.0,D,2.0,,24.4,5-6,15379.0,E,1.0,,7.0,6-5,137666.0,S,1.0,,36.7,6-5-8-2,68507.0,T,0.5,,7.0,6-5-8,99600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,3 year olds,Off Turf,Maiden Special Weight,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,CELTURIAN,USA,SAX,SAX_20180303_4,SAX_20180303_4_nan
21,SA,2018-03-03,4,TB,8.0,0,D,1,M,MSW,,,,03,1,54000,,,,,6,WF,L,2:03,,0,1,22.97,46.72,71.74,84.29,,96.84,263784,172.0,Jersey's Heat,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,3,1.0,3.0,44.1,3-5-6,23206.0,D,2.0,,24.4,5-6,15379.0,E,1.0,,7.0,6-5,137666.0,S,1.0,,36.7,6-5-8-2,68507.0,T,0.5,,7.0,6-5-8,99600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,3 year olds,Off Turf,Maiden Special Weight,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,JERSEYSHEAT,USA,SAX,SAX_20180303_4,SAX_20180303_4_nan
28,SA,2018-03-03,5,TB,8.0,0,D,0,M,AOC,NW1$      X,,,4U,0,56000,40000.0,40000.0,,,5,WF,L,2:35,,0,1,23.54,46.92,70.8,82.87,,94.96,284275,172.0,Elwood J,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,1.0,3.0,21.3,5-6-6,51847.0,4,0.5,4.0,50.85,3-4/5-6-5/6,194038.0,5,0.5,5.0,232.8,8-3-4/5-6-5/6,446085.0,D,2.0,,14.2,6-6,26175.0,E,1.0,,4.6,6-3,133125.0,S,1.0,,49.7,6-3-2-4,52438.0,T,0.5,,12.25,6-3-2,91347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Trainer,Allowance Optional Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,ELWOODJ,USA,SAX,SAX_20180303_5,SAX_20180303_5_nan
34,SA,2018-03-03,6,TB,8.5,0,D,0,M,STK,,Santa Ysabel S.,F,03,0,100000,,,3,,5,WF,L,3:05,,0,1,23.26,47.01,71.1,94.9,,101.1,380664,70.0,Dream Tree,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,1.0,3.0,8.4,6-6-3,59383.0,D,2.0,,5.0,6-3,37729.0,E,1.0,,4.4,3-4,155461.0,S,1.0,,40.4,3-4-2-5,63053.0,T,0.5,,6.1,3-4-2,103914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies,Thoroughbred,Cloudy,No Medication,,Grade 3,3 year olds,Trainer,Stakes,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,DREAMTREE,USA,SAX,SAX_20180303_6,SAX_20180303_6_nan
47,SA,2018-03-03,8,TB,6.5,0,D,1,M,AOC,NW1$      X,,B,4U,0,56000,40000.0,40000.0,,,5,WF,L,4:09,,0,1,21.84,44.73,69.34,,,75.78,266114,78.0,Cynthiana,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,3,1.0,3.0,36.6,3-7-5,41297.0,D,2.0,,51.4,7-5,24201.0,E,1.0,,15.1,5-3,102027.0,S,1.0,,134.1,5-3-8-6,35118.0,T,0.5,,32.2,5-3-8,64866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Off Turf,Allowance Optional Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,CYNTHIANA,USA,SAX,SAX_20180303_8,SAX_20180303_8_nan
48,SA,2018-03-03,8,TB,6.5,0,D,1,M,AOC,NW1$      X,,B,4U,0,56000,40000.0,40000.0,,,5,WF,L,4:09,,0,1,21.84,44.73,69.34,,,75.78,266114,78.0,Gone to Town,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,3,1.0,3.0,36.6,3-7-5,41297.0,D,2.0,,51.4,7-5,24201.0,E,1.0,,15.1,5-3,102027.0,S,1.0,,134.1,5-3-8-6,35118.0,T,0.5,,32.2,5-3-8,64866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Off Turf,Allowance Optional Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,GONETOTOWN,USA,SAX,SAX_20180303_8,SAX_20180303_8_nan
49,SA,2018-03-03,8,TB,6.5,0,D,1,M,AOC,NW1$      X,,B,4U,0,56000,40000.0,40000.0,,,5,WF,L,4:09,,0,1,21.84,44.73,69.34,,,75.78,266114,78.0,Lightning Dove,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,3,1.0,3.0,36.6,3-7-5,41297.0,D,2.0,,51.4,7-5,24201.0,E,1.0,,15.1,5-3,102027.0,S,1.0,,134.1,5-3-8-6,35118.0,T,0.5,,32.2,5-3-8,64866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Off Turf,Allowance Optional Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,LIGHTNINGDOVE,USA,SAX,SAX_20180303_8,SAX_20180303_8_nan
50,SA,2018-03-03,8,TB,6.5,0,D,1,M,AOC,NW1$      X,,B,4U,0,56000,40000.0,40000.0,,,5,WF,L,4:09,,0,1,21.84,44.73,69.34,,,75.78,266114,78.0,Ruby Trust,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,3,1.0,3.0,36.6,3-7-5,41297.0,D,2.0,,51.4,7-5,24201.0,E,1.0,,15.1,5-3,102027.0,S,1.0,,134.1,5-3-8-6,35118.0,T,0.5,,32.2,5-3-8,64866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Off Turf,Allowance Optional Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,RUBYTRUST,USA,SAX,SAX_20180303_8,SAX_20180303_8_nan
51,SA,2018-03-03,8,TB,6.5,0,D,1,M,AOC,NW1$      X,,B,4U,0,56000,40000.0,40000.0,,,5,WF,L,4:09,,0,1,21.84,44.73,69.34,,,75.78,266114,78.0,Salten Sapity,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,3,1.0,3.0,36.6,3-7-5,41297.0,D,2.0,,51.4,7-5,24201.0,E,1.0,,15.1,5-3,102027.0,S,1.0,,134.1,5-3-8-6,35118.0,T,0.5,,32.2,5-3-8,64866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Off Turf,Allowance Optional Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,SALTENSAPITY,USA,SAX,SAX_20180303_8,SAX_20180303_8_nan
52,SA,2018-03-03,8,TB,6.5,0,D,1,M,AOC,NW1$      X,,B,4U,0,56000,40000.0,40000.0,,,5,WF,L,4:09,,0,1,21.84,44.73,69.34,,,75.78,266114,78.0,Tizanillusion,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,3,1.0,3.0,36.6,3-7-5,41297.0,D,2.0,,51.4,7-5,24201.0,E,1.0,,15.1,5-3,102027.0,S,1.0,,134.1,5-3-8-6,35118.0,T,0.5,,32.2,5-3-8,64866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Off Turf,Allowance Optional Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,TIZANILLUSION,USA,SAX,SAX_20180303_8,SAX_20180303_8_nan
58,SA,2018-03-03,9,TB,6.5,0,D,0,M,MCL,,,F,03,0,18000,20000.0,20000.0,,,8,WF,L,4:42,,0,1,22.04,45.11,69.75,,,76.27,278495,78.0,Dixie Lassie,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,1.0,3.0,82.9,7-5-9,33329.0,D,2.0,,24.4,5-9,29923.0,E,1.0,,6.1,9-8,150903.0,S,1.0,,194.2,9-8-6-7,89709.0,S5,1.0,,574.4,9-8-6-7-5,17734.0,T,0.5,,11.45,9-8-6,117104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies,Thoroughbred,Cloudy,No Medication,,Not graded,3 year olds,Vet,Maiden Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,DIXIELASSIE,USA,SAX,SAX_20180303_9,SAX_20180303_9_nan
67,SA,2018-03-03,10,TB,6.0,0,D,0,M,CLM,NW3     L,,,4U,0,20000,16000.0,16000.0,,,7,WF,L,5:13,,0,1,22.09,44.86,56.92,,,69.1,332054,85.0,Bolster,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,1.0,3.0,72.6,5-9-9,114249.0,4,0.5,4.0,187.4,7-5-1/9-9,524589.0,5,0.5,5.0,215.5,3/6-7-5-1/9-9,369492.0,6,2.0,5.0,23.6,5/6-3/6-7-5-1/9-9,549424.0,6,2.0,6.0,3384.2,5/6-3/6-7-5-1/9-9,549424.0,6J,2.0,,,5/6-3/6-7-5-1/9-9,,D,2.0,,26.8,9-9,109867.0,E,1.0,,17.5,9-3,184426.0,S,1.0,,170.5,9-3-6-5,102618.0,S5,1.0,,275.3,9-3-6-5-2,30275.0,T,0.5,,19.25,9-3-6,142008.0,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Trainer,Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,BOLSTER,USA,SAX,SAX_20180303_10,SAX_20180303_10_nan
68,SA,2018-03-03,10,TB,6.0,0,D,0,M,CLM,NW3     L,,,4U,0,20000,16000.0,16000.0,,,7,WF,L,5:13,,0,1,22.09,44.86,56.92,,,69.1,332054,85.0,Levitation,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,1.0,3.0,72.6,5-9-9,114249.0,4,0.5,4.0,187.4,7-5-1/9-9,524589.0,5,0.5,5.0,215.5,3/6-7-5-1/9-9,369492.0,6,2.0,5.0,23.6,5/6-3/6-7-5-1/9-9,549424.0,6,2.0,6.0,3384.2,5/6-3/6-7-5-1/9-9,549424.0,6J,2.0,,,5/6-3/6-7-5-1/9-9,,D,2.0,,26.8,9-9,109867.0,E,1.0,,17.5,9-3,184426.0,S,1.0,,170.5,9-3-6-5,102618.0,S5,1.0,,275.3,9-3-6-5-2,30275.0,T,0.5,,19.25,9-3-6,142008.0,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Trainer,Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,LEVITATION,USA,SAX,SAX_20180303_10,SAX_20180303_10_nan
69,SA,2018-03-03,10,TB,6.0,0,D,0,M,CLM,NW3     L,,,4U,0,20000,16000.0,16000.0,,,7,WF,L,5:13,,0,1,22.09,44.86,56.92,,,69.1,332054,85.0,R Cha Cha,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,1.0,3.0,72.6,5-9-9,114249.0,4,0.5,4.0,187.4,7-5-1/9-9,524589.0,5,0.5,5.0,215.5,3/6-7-5-1/9-9,369492.0,6,2.0,5.0,23.6,5/6-3/6-7-5-1/9-9,549424.0,6,2.0,6.0,3384.2,5/6-3/6-7-5-1/9-9,549424.0,6J,2.0,,,5/6-3/6-7-5-1/9-9,,D,2.0,,26.8,9-9,109867.0,E,1.0,,17.5,9-3,184426.0,S,1.0,,170.5,9-3-6-5,102618.0,S5,1.0,,275.3,9-3-6-5-2,30275.0,T,0.5,,19.25,9-3-6,142008.0,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Trainer,Claiming,Dirt,Wet-Fast,Main Course,,3,Saturday,2018,6,RCHACHA,USA,SAX,SAX_20180303_10,SAX_20180303_10_nan
47,SUN,2018-03-03,7,TB,5.5,0,D,0,M,CLM,C,,,4U,1,12100,5000.0,5000.0,,,11,FST,C,3:07,,0,0,22.3,45.28,,,,63.69,18721,40.0,Naevussquall,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,0.5,3.0,29.2,5-4-6,621.0,E,1.0,,95.4,6-2,17415.0,S,0.1,,203.34,6-2-5-4,12916.0,T,1.0,,298.0,6-2-5,12237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Vet,Claiming,Dirt,Fast,Main Course,,3,Saturday,2018,6,NAEVUSSQUALL,USA,SUN,SUN_20180303_7,SUN_20180303_7_nan
69,SUN,2018-03-03,9,TB,8.0,0,D,0,M,SOC,,,,4U,1,25600,15000.0,7500.0,,,7,FST,C,3:58,,0,0,,47.51,71.48,84.4,,97.21,15151,80.0,Gold Boundry,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,0.5,3.0,478.1,6-6-6,1276.0,4,0.5,3.0,40.7,4-6-6-6,3312.0,6,1.0,3.0,8.0,9-5-4-6-6-6,71.0,D,1.0,,65.1,6-6,1714.0,E,1.0,,43.6,6-1,11140.0,S,0.1,,179.16,6-1-5-2,5768.0,S5,1.0,,78.6,6-1-ALL-ALL-ALL,707.0,T,1.0,,269.8,6-1-5,7842.0,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Vet,,Dirt,Fast,Main Course,,3,Saturday,2018,6,GOLDBOUNDRY,USA,SUN,SUN_20180303_9,SUN_20180303_9_nan
6,TAM,2018-03-03,2,TB,7.0,0,D,0,M,CLM,NW1     6M,,,4U,0,10400,5000.0,5000.0,,,7,FST,C,1:17,,0,0,23.8,47.9,72.43,,,85.04,128070,30.0,Present Course,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,S,,,,,,D,2.0,,69.8,3-6,39188.0,E,2.0,,205.6,6-1,122303.0,S,1.0,,1718.4,6-1-2-4,42610.0,T,1.0,,488.0,6-1-2,73055.0,X5,1.0,,9592.8,6-1-2-4-3,6997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Stewards,Claiming,Dirt,Fast,Main Course,,3,Saturday,2018,6,PRESENTCOURSE,USA,TAM,TAM_20180303_2,TAM_20180303_2_nan
38,TAM,2018-03-03,6,TB,8.5,0,T,0,M,CLM,,,,4U,0,18700,16000.0,16000.0,,,8,FM,C,3:17,30.0,0,0,24.29,49.86,73.47,96.9,,102.79,239328,82.0,Lighthouse Sound,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,S,,,,,,3,1.0,3.0,60.1,6-2-6,25741.0,4,1.0,4.0,244.4,3-6-2-5/6/8,82158.0,D,2.0,,34.6,2-6,19613.0,E,2.0,,14.8,6-2,204206.0,S,1.0,,103.2,6-2-4-7,79457.0,T,1.0,,17.0,6-2-4,129953.0,X5,1.0,,211.6,6-2-4-7-9,4217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Stewards,Claiming,Turf,Firm,Main Course,,3,Saturday,2018,6,LIGHTHOUSESOUND,USA,TAM,TAM_20180303_6,TAM_20180303_6_nan
39,TAM,2018-03-03,6,TB,8.5,0,T,0,M,CLM,,,,4U,0,18700,16000.0,16000.0,,,8,FM,C,3:17,30.0,0,0,24.29,49.86,73.47,96.9,,102.79,239328,82.0,Steamboat Bill,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,1.0,3.0,60.1,6-2-6,25741.0,4,1.0,4.0,244.4,3-6-2-5/6/8,82158.0,D,2.0,,34.6,2-6,19613.0,E,2.0,,14.8,6-2,204206.0,S,1.0,,103.2,6-2-4-7,79457.0,T,1.0,,17.0,6-2-4,129953.0,X5,1.0,,211.6,6-2-4-7-9,4217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Vet,Claiming,Turf,Firm,Main Course,,3,Saturday,2018,6,STEAMBOATBILL,USA,TAM,TAM_20180303_6,TAM_20180303_6_nan
