race_id,EX_payout,runner_program_number_pp,x8is_exacta,official_finish_position,prob_x8runner_HDWPSRRating_norm_par
ARP_20160703_5,13.1,1,0.0,3.0,0.11242607356205087
ARP_20160703_5,13.1,5,0.0,4.0,0.03596947622202719
ARP_20160703_5,13.1,10,0.0,5.0,0.1839463076068506
ARP_20160703_5,13.1,2,0.0,6.0,0.2145098024472272
ARP_20160703_5,13.1,3,0.0,7.0,0.0007044532665606391
ARP_20160703_5,13.1,6,0.0,8.0,0.004159320861144887
ARP_20160703_5,13.1,8,0.0,9.0,0.009107009673517701
ARP_20160703_5,13.1,7,0.0,10.0,0.007065810089217321
ARP_20160703_6,27.9,3,1.0,1.0,0.2553215549034286
ARP_20160703_6,27.9,2,1.0,2.0,0.12352073809525194
ARP_20160703_6,27.9,4,0.0,3.0,0.2028781878330586
ARP_20160703_6,27.9,11,0.0,4.0,0.12352073809525194
ARP_20160703_6,27.9,1,0.0,5.0,0.20287818783305864
ARP_20160703_6,27.9,5,0.0,6.0,0.002803297366602699
ARP_20160703_6,27.9,10,0.0,7.0,0.00041919194451580977
ARP_20160703_6,27.9,6,0.0,8.0,0.03893705105735808
ARP_20160703_6,27.9,7,0.0,9.0,0.006482357003017715
ARP_20160703_6,27.9,9,0.0,10.0,0.004301644811097908
ARP_20160703_6,27.9,8,0.0,11.0,0.03893705105735808
ARP_20160703_7,4.4,4,1.0,1.0,0.293532531317608
ARP_20160703_7,4.4,1,1.0,2.0,0.47579625740871534
ARP_20160703_7,4.4,2,0.0,3.0,0.036467224050122524
ARP_20160703_7,4.4,3,0.0,4.0,0.01643115690121277
ARP_20160703_7,4.4,5,0.0,5.0,0.028231775132251065
ARP_20160703_7,4.4,8,0.0,6.0,0.07434634910673066
ARP_20160703_7,4.4,7,0.0,7.0,0.0008483569766290333
ARP_20160703_7,4.4,6,0.0,8.0,0.07434634910673066
ARP_20160703_8,369.4,3,1.0,1.0,0.13082841037933
ARP_20160703_8,369.4,2,1.0,2.0,0.00027135462466201994
ARP_20160703_8,369.4,5,0.0,3.0,0.4183906346885056
ARP_20160703_8,369.4,1,0.0,4.0,0.013578648379913561
ARP_20160703_8,369.4,4,0.0,5.0,0.03702732210920016
ARP_20160703_8,369.4,7,0.0,6.0,0.05814937799336335
ARP_20160703_8,369.4,6,0.0,7.0,0.13082841037933
